JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2459899.877083333, A.D. 2022-Nov-16 09:03:00.0000, -1.014728828823219E+04,  1.227295275535712E+04,  2.381457744169593E+03, -6.770889903404616E+00,  1.027623257808365E+00,  7.533891815720011E-01,
2459899.918750000, A.D. 2022-Nov-16 10:03:00.0000, -3.009229375657802E+04,  1.226350518958771E+04,  4.245744651427427E+03, -4.677741172904286E+00, -5.086852897114965E-01,  3.780576475861244E-01,
2459899.960416667, A.D. 2022-Nov-16 11:03:00.0000, -4.517304994501061E+04,  9.837286713581074E+03,  5.372751601479851E+03, -3.795201389060423E+00, -7.822916728953667E-01,  2.635673171101289E-01,
2459900.002083333, A.D. 2022-Nov-16 12:03:00.0000, -5.784356543548531E+04,  6.839533266427753E+03,  6.207607606550427E+03, -3.281784743608186E+00, -8.683163852878432E-01,  2.055071750529524E-01,
2459900.043750000, A.D. 2022-Nov-16 13:03:00.0000, -6.899544595595539E+04,  3.650178669204724E+03,  6.878066538822558E+03, -2.933085787250702E+00, -8.981027946027217E-01,  1.694182055723952E-01,
2459900.085416667, A.D. 2022-Nov-16 14:03:00.0000, -7.906872864234993E+04,  3.992762385412175E+02,  7.440465178768971E+03, -2.674668165639005E+00, -9.055630241552295E-01,  1.443787367356446E-01,
2459900.127083333, A.D. 2022-Nov-16 15:03:00.0000, -8.833882002913575E+04, -2.800446620686733E+03,  7.929659628542858E+03, -2.483262672721959E+00, -8.697550107654791E-01,  1.283208986029926E-01,
2459900.168750000, A.D. 2022-Nov-16 16:03:00.0000, -9.697248451925053E+04, -5.918769967822815E+03,  8.364502970802601E+03, -2.318426121515337E+00, -8.620823516116877E-01,  1.138134868481085E-01,
2459900.210416667, A.D. 2022-Nov-16 17:03:00.0000, -1.050634422419600E+05, -9.004491750791000E+03,  8.752458447027628E+03, -2.180345125709467E+00, -8.519178309960673E-01,  1.021069562887940E-01,
2459900.252083333, A.D. 2022-Nov-16 18:03:00.0000, -1.126947002594083E+05, -1.205108585518484E+04,  9.102071414491598E+03, -2.062113171655719E+00, -8.404920895874735E-01,  9.240800927557638E-02,
2459900.293750000, A.D. 2022-Nov-16 19:03:00.0000, -1.199288811800677E+05, -1.505534003420817E+04,  9.419583902127641E+03, -1.959112977683417E+00, -8.284781531828980E-01,  8.420419997621251E-02,
2459900.335416667, A.D. 2022-Nov-16 20:03:00.0000, -1.268152937543734E+05, -1.801594075059556E+04,  9.709727681085949E+03, -1.868169682225618E+00, -8.163320372590992E-01,  7.712906616642520E-02,
